centralVariantId,model_year,model_name,variant_name,car_oem,owner,owner_slug,km,ft,tt,msp,city,locality,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Gearbox,Drive Type,Emission Norm Compliance,Steering Type,Length,Width,Height,Seating Capacity,Wheel Base,Kerb Weight,No. of Doors,Ground Clearance Unladen
10561,2024,Audi Q8,Celebration Edition,Audi,1,first-owner,"1,600",Petrol,Automatic,9800000,New Delhi,Naraina,TFSI Petrol Engine,2995 cc,335.25bhp@5200-6400rpm,500Nm@1370-4500rpm,4,4,8-Speed,AWD,BS VI 2.0,Electrical,4986 mm,2190 mm,1705 mm,5,2500 mm,2175 kg,5,
8321,2022,Jeep Compass,Model S DCT BSVI,Jeep,1,first-owner,"21,000",Petrol,Automatic,1650000,Kolkata,Kasba,1.4L MultiAir Petrol,1368 cc,160.77bhp@5500rpm,250Nm@2500-4000rpm,4,4,7 Speed DCT,4x2,BS VI,Power,4405 mm,1818 mm,1640 mm,5,2636 mm,1580 kg,5,
10582,2023,BMW 3 Series Gran Limousine,320Ld M Sport,BMW,1,first-owner,"1,623",Diesel,Automatic,6500000,Coimbatore,Gandhipuram,TwinPower Turbo,1995 cc,187.74bhp@4000rpm,400Nm@1750-2500rpm,4,4,8-Speed AT,RWD,BS VI 2.0,Electric,4823 mm,1827 mm,1441 mm,5,2400 mm,1640 kg,4,
12204,2024,Audi Q7,Technology,Audi,0,unregistered,"3,500",Petrol,Automatic,8800000,Kolkata,Giripur,3.0L V6 TFSI,2995 cc,335bhp@5200 - 6400rpm,500Nm@1370 - 4500rpm,6,4,8-Speed AT,AWD,BS VI 2.0,Electric,5072 mm,1970 mm,1705 mm,7,3000 mm,,5,
10568,2024,Audi Q3 Sportback,40TFSI Quattro,Audi,0,unregistered,"6,100",Petrol,Automatic,4800000,Guwahati,Dharapur,40 TFSI quattro,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,4,4,7-Speed,AWD,BS VI 2.0,Electric,4518 mm,2022 mm,1558 mm,5,2651 mm,1595 kg,5,
6837,2022,Mercedes-Benz GLC,200,Mercedes-Benz,2,second-owner,"22,000",Petrol,Automatic,6100000,Gurgaon,,M 264 petrol engine,1991 cc,197bhp@5500-6100rpm,320nm@1650-4000rpm,4,4,9 speed Tronic,AWD,BS VI,Power,4658 mm,1890 mm,1644 mm,5,2873 mm,1585 kg,5,
6732,2023,Mercedes-Benz GLE,300d BSVI,Mercedes-Benz,1,first-owner,"6,800",Diesel,Automatic,9495000,Mumbai,Goregaon (w),V Type Engine,1950 cc,241.38bhp@4200rpm,500Nm@1600-4000rpm,4,4,9G-TRONIC,AWD,BS VI,Power,4924 mm,2157 mm,1772 mm,5,2995 mm,2150 kg,5,200 mm
10557,2024,Audi Q5,Technology,Audi,0,unregistered,"5,696",Petrol,Automatic,5700000,Kolkata,Giripur,2.0 L TFSI,1984 cc,245.59bhp@5000-6000rpm,370Nm@1600-4300bhp,4,4,7-Speed AT,AWD,BS VI 2.0,Electric,4682 mm,1893 mm,1653 mm,5,2827 mm,1970 kg,5,
8128,2021,Nissan Magnite,XV BSVI,Nissan,1,first-owner,"17,439",Petrol,Manual,569000,Ahmedabad,Naroda,B4D 1.0 NA PETROL,999 cc,71.02bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electronic,3994 mm,1758 mm,1572 mm,5,2500 mm,939 kg,5,205 mm
1832,2013,Hyundai Verna,1.6 SX VTVT,Hyundai,1,first-owner,"53,000",Petrol,Manual,399000,Mumbai,Borivali West,VTVT Petrol Engine,1591 cc,121.3bhp@6300rpm,154.9Nm@4200rpm,4,4,5 Speed,FWD,BSIV,Power,4375 mm,1700 mm,1475 mm,5,2570 mm,1260 kg,4,165 mm
6732,2021,Mercedes-Benz GLE,300d BSVI,Mercedes-Benz,1,first-owner,"26,500",Diesel,Automatic,7499999,Mumbai,Mulund West,V Type Engine,1950 cc,241.38bhp@4200rpm,500Nm@1600-4000rpm,4,4,9G-TRONIC,AWD,BS VI,Power,4924 mm,2157 mm,1772 mm,5,2995 mm,2150 kg,5,200 mm
1591,2010,Hyundai i10,Magna 1.2,Hyundai,1,first-owner,"65,000",Petrol,Manual,88000,Kolkata,Kasba,Petrol Engine,1197 cc,78.9bhp@6000rpm,111.7Nm@4000rpm,4,4,5 Speed,FWD,BSIV,Power,3585 mm,1595 mm,1550 mm,5,2380 mm,930 kg,4,165 mm
8352,2022,Renault Kiger,RXT AMT,Renault,1,first-owner,"10,600",Petrol,Automatic,675000,Mumbai,Matunga West,1.0L energy,999 cc,71.01bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electric,3991 mm,1750 mm,1605 mm,5,2500 mm,1055 kg,5,205 mm
5094,2016,Renault KWID,RXT,Renault,1,first-owner,"48,000",Petrol,Manual,199000,New Delhi,Rohini Courts,Petrol Engine,799 cc,53.3bhp@5678rpm,72Nm@4386rpm,3,4,5 Speed,FWD,BS IV,Power,3679 mm,1579 mm,1478 mm,5,2422 mm,710 kg,5,180 mm
8349,2021,Renault Kiger,RXT,Renault,1,first-owner,"12,000",Petrol,Manual,545000,Gurgaon,Badli,1.0L energy,999 cc,71.01bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electric,3991 mm,1750 mm,1605 mm,5,2500 mm,1012 kg,5,205 mm
10446,2023,Hyundai Exter,S AMT,Hyundai,1,first-owner,"7,500",Petrol,Automatic,799000,New Delhi,Karam Pura,1.2 l Kappa,1197 cc,81.8bhp@6000rpm,113.8Nm@4000rpm,4,4,5 Speed AMT,FWD,BS VI 2.0,Electric,3815 mm,1710 mm,1631 mm,5,2450 mm,,5,
9463,2023,BMW XM,xDrive BSVI,BMW,1,first-owner,"9,600",Petrol,Automatic,18500000,Mumbai,Malad West,,4395 cc,643.69bhp@5400-7200rpm,800Nm@1600-5000rpm,8,4,8-Speed,4WD,BS VI,Electric,5155 mm,2000 mm,1745 mm,7,,2785 kg,5,
10672,2024,Tata Tigor,XMA AMT,Tata,1,first-owner,"10,000",Petrol,Automatic,725000,New Delhi,Preet Vihar,1.2L Revotron,1199 cc,84.48bhp@6000rpm,113Nm@3300rpm,3,4,5-Speed AMT,FWD,BS VI 2.0,,3993 mm,1677 mm,1532 mm,5,2450 mm,,4,
10644,2024,Jaguar F-Pace,2.0 R-Dynamic S,Jaguar,1,first-owner,"6,000",Petrol,Automatic,6800000,Gurgaon,,2.0L Ingenium Turbocharged I4,1997 cc,246.74bhp@5500rpm,365Nm@1500-4000rpm,4,4,8-Speed AT,AWD,BS VI 2.0,,4747 mm,2175 mm,1664 mm,5,2445 mm,1835 kg,5,
9115,2023,Land Rover Range Rover Sport,3.0 Diesel Dynamic HSE,Land Rover,1,first-owner,"8,436",Diesel,Automatic,16500000,Hyderabad,Madhapur,3.0L AJD Turbocharged V6,2997 cc,345.98bhp@4000rpm,700Nm@1500-3000rpm,6,4,8-Speed,AWD,BS VI,,4946 mm,2209 mm,1820 mm,5,3095 mm,2360 kg,,
10561,2024,Audi Q8,Celebration Edition,Audi,1,first-owner,"1,600",Petrol,Automatic,9800000,New Delhi,Naraina,TFSI Petrol Engine,2995 cc,335.25bhp@5200-6400rpm,500Nm@1370-4500rpm,4,4,8-Speed,AWD,BS VI 2.0,Electrical,4986 mm,2190 mm,1705 mm,5,2500 mm,2175 kg,5,
8321,2022,Jeep Compass,Model S DCT BSVI,Jeep,1,first-owner,"21,000",Petrol,Automatic,1650000,Kolkata,Kasba,1.4L MultiAir Petrol,1368 cc,160.77bhp@5500rpm,250Nm@2500-4000rpm,4,4,7 Speed DCT,4x2,BS VI,Power,4405 mm,1818 mm,1640 mm,5,2636 mm,1580 kg,5,
10582,2023,BMW 3 Series Gran Limousine,320Ld M Sport,BMW,1,first-owner,"1,623",Diesel,Automatic,6500000,Coimbatore,Gandhipuram,TwinPower Turbo,1995 cc,187.74bhp@4000rpm,400Nm@1750-2500rpm,4,4,8-Speed AT,RWD,BS VI 2.0,Electric,4823 mm,1827 mm,1441 mm,5,2400 mm,1640 kg,4,
12204,2024,Audi Q7,Technology,Audi,0,unregistered,"3,500",Petrol,Automatic,8800000,Kolkata,Giripur,3.0L V6 TFSI,2995 cc,335bhp@5200 - 6400rpm,500Nm@1370 - 4500rpm,6,4,8-Speed AT,AWD,BS VI 2.0,Electric,5072 mm,1970 mm,1705 mm,7,3000 mm,,5,
10568,2024,Audi Q3 Sportback,40TFSI Quattro,Audi,0,unregistered,"6,100",Petrol,Automatic,4800000,Guwahati,Dharapur,40 TFSI quattro,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,4,4,7-Speed,AWD,BS VI 2.0,Electric,4518 mm,2022 mm,1558 mm,5,2651 mm,1595 kg,5,
6837,2022,Mercedes-Benz GLC,200,Mercedes-Benz,2,second-owner,"22,000",Petrol,Automatic,6100000,Gurgaon,,M 264 petrol engine,1991 cc,197bhp@5500-6100rpm,320nm@1650-4000rpm,4,4,9 speed Tronic,AWD,BS VI,Power,4658 mm,1890 mm,1644 mm,5,2873 mm,1585 kg,5,
6732,2023,Mercedes-Benz GLE,300d BSVI,Mercedes-Benz,1,first-owner,"6,800",Diesel,Automatic,9495000,Mumbai,Goregaon (w),V Type Engine,1950 cc,241.38bhp@4200rpm,500Nm@1600-4000rpm,4,4,9G-TRONIC,AWD,BS VI,Power,4924 mm,2157 mm,1772 mm,5,2995 mm,2150 kg,5,200 mm
10557,2024,Audi Q5,Technology,Audi,0,unregistered,"5,696",Petrol,Automatic,5700000,Kolkata,Giripur,2.0 L TFSI,1984 cc,245.59bhp@5000-6000rpm,370Nm@1600-4300bhp,4,4,7-Speed AT,AWD,BS VI 2.0,Electric,4682 mm,1893 mm,1653 mm,5,2827 mm,1970 kg,5,
8128,2021,Nissan Magnite,XV BSVI,Nissan,1,first-owner,"17,439",Petrol,Manual,569000,Ahmedabad,Naroda,B4D 1.0 NA PETROL,999 cc,71.02bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electronic,3994 mm,1758 mm,1572 mm,5,2500 mm,939 kg,5,205 mm
1832,2013,Hyundai Verna,1.6 SX VTVT,Hyundai,1,first-owner,"53,000",Petrol,Manual,399000,Mumbai,Borivali West,VTVT Petrol Engine,1591 cc,121.3bhp@6300rpm,154.9Nm@4200rpm,4,4,5 Speed,FWD,BSIV,Power,4375 mm,1700 mm,1475 mm,5,2570 mm,1260 kg,4,165 mm
6732,2021,Mercedes-Benz GLE,300d BSVI,Mercedes-Benz,1,first-owner,"26,500",Diesel,Automatic,7499999,Mumbai,Mulund West,V Type Engine,1950 cc,241.38bhp@4200rpm,500Nm@1600-4000rpm,4,4,9G-TRONIC,AWD,BS VI,Power,4924 mm,2157 mm,1772 mm,5,2995 mm,2150 kg,5,200 mm
1591,2010,Hyundai i10,Magna 1.2,Hyundai,1,first-owner,"65,000",Petrol,Manual,88000,Kolkata,Kasba,Petrol Engine,1197 cc,78.9bhp@6000rpm,111.7Nm@4000rpm,4,4,5 Speed,FWD,BSIV,Power,3585 mm,1595 mm,1550 mm,5,2380 mm,930 kg,4,165 mm
8352,2022,Renault Kiger,RXT AMT,Renault,1,first-owner,"10,600",Petrol,Automatic,675000,Mumbai,Matunga West,1.0L energy,999 cc,71.01bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electric,3991 mm,1750 mm,1605 mm,5,2500 mm,1055 kg,5,205 mm
5094,2016,Renault KWID,RXT,Renault,1,first-owner,"48,000",Petrol,Manual,199000,New Delhi,Rohini Courts,Petrol Engine,799 cc,53.3bhp@5678rpm,72Nm@4386rpm,3,4,5 Speed,FWD,BS IV,Power,3679 mm,1579 mm,1478 mm,5,2422 mm,710 kg,5,180 mm
8349,2021,Renault Kiger,RXT,Renault,1,first-owner,"12,000",Petrol,Manual,545000,Gurgaon,Badli,1.0L energy,999 cc,71.01bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electric,3991 mm,1750 mm,1605 mm,5,2500 mm,1012 kg,5,205 mm
10446,2023,Hyundai Exter,S AMT,Hyundai,1,first-owner,"7,500",Petrol,Automatic,799000,New Delhi,Karam Pura,1.2 l Kappa,1197 cc,81.8bhp@6000rpm,113.8Nm@4000rpm,4,4,5 Speed AMT,FWD,BS VI 2.0,Electric,3815 mm,1710 mm,1631 mm,5,2450 mm,,5,
9463,2023,BMW XM,xDrive BSVI,BMW,1,first-owner,"9,600",Petrol,Automatic,18500000,Mumbai,Malad West,,4395 cc,643.69bhp@5400-7200rpm,800Nm@1600-5000rpm,8,4,8-Speed,4WD,BS VI,Electric,5155 mm,2000 mm,1745 mm,7,,2785 kg,5,
10672,2024,Tata Tigor,XMA AMT,Tata,1,first-owner,"10,000",Petrol,Automatic,725000,New Delhi,Preet Vihar,1.2L Revotron,1199 cc,84.48bhp@6000rpm,113Nm@3300rpm,3,4,5-Speed AMT,FWD,BS VI 2.0,,3993 mm,1677 mm,1532 mm,5,2450 mm,,4,
10644,2024,Jaguar F-Pace,2.0 R-Dynamic S,Jaguar,1,first-owner,"6,000",Petrol,Automatic,6800000,Gurgaon,,2.0L Ingenium Turbocharged I4,1997 cc,246.74bhp@5500rpm,365Nm@1500-4000rpm,4,4,8-Speed AT,AWD,BS VI 2.0,,4747 mm,2175 mm,1664 mm,5,2445 mm,1835 kg,5,
9115,2023,Land Rover Range Rover Sport,3.0 Diesel Dynamic HSE,Land Rover,1,first-owner,"8,436",Diesel,Automatic,16500000,Hyderabad,Madhapur,3.0L AJD Turbocharged V6,2997 cc,345.98bhp@4000rpm,700Nm@1500-3000rpm,6,4,8-Speed,AWD,BS VI,,4946 mm,2209 mm,1820 mm,5,3095 mm,2360 kg,,
10561,2024,Audi Q8,Celebration Edition,Audi,1,first-owner,"1,600",Petrol,Automatic,9800000,New Delhi,Naraina,TFSI Petrol Engine,2995 cc,335.25bhp@5200-6400rpm,500Nm@1370-4500rpm,4,4,8-Speed,AWD,BS VI 2.0,Electrical,4986 mm,2190 mm,1705 mm,5,2500 mm,2175 kg,5,
8321,2022,Jeep Compass,Model S DCT BSVI,Jeep,1,first-owner,"21,000",Petrol,Automatic,1650000,Kolkata,Kasba,1.4L MultiAir Petrol,1368 cc,160.77bhp@5500rpm,250Nm@2500-4000rpm,4,4,7 Speed DCT,4x2,BS VI,Power,4405 mm,1818 mm,1640 mm,5,2636 mm,1580 kg,5,
10582,2023,BMW 3 Series Gran Limousine,320Ld M Sport,BMW,1,first-owner,"1,623",Diesel,Automatic,6500000,Coimbatore,Gandhipuram,TwinPower Turbo,1995 cc,187.74bhp@4000rpm,400Nm@1750-2500rpm,4,4,8-Speed AT,RWD,BS VI 2.0,Electric,4823 mm,1827 mm,1441 mm,5,2400 mm,1640 kg,4,
12204,2024,Audi Q7,Technology,Audi,0,unregistered,"3,500",Petrol,Automatic,8800000,Kolkata,Giripur,3.0L V6 TFSI,2995 cc,335bhp@5200 - 6400rpm,500Nm@1370 - 4500rpm,6,4,8-Speed AT,AWD,BS VI 2.0,Electric,5072 mm,1970 mm,1705 mm,7,3000 mm,,5,
10568,2024,Audi Q3 Sportback,40TFSI Quattro,Audi,0,unregistered,"6,100",Petrol,Automatic,4800000,Guwahati,Dharapur,40 TFSI quattro,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,4,4,7-Speed,AWD,BS VI 2.0,Electric,4518 mm,2022 mm,1558 mm,5,2651 mm,1595 kg,5,
6837,2022,Mercedes-Benz GLC,200,Mercedes-Benz,2,second-owner,"22,000",Petrol,Automatic,6100000,Gurgaon,,M 264 petrol engine,1991 cc,197bhp@5500-6100rpm,320nm@1650-4000rpm,4,4,9 speed Tronic,AWD,BS VI,Power,4658 mm,1890 mm,1644 mm,5,2873 mm,1585 kg,5,
6732,2023,Mercedes-Benz GLE,300d BSVI,Mercedes-Benz,1,first-owner,"6,800",Diesel,Automatic,9495000,Mumbai,Goregaon (w),V Type Engine,1950 cc,241.38bhp@4200rpm,500Nm@1600-4000rpm,4,4,9G-TRONIC,AWD,BS VI,Power,4924 mm,2157 mm,1772 mm,5,2995 mm,2150 kg,5,200 mm
10557,2024,Audi Q5,Technology,Audi,0,unregistered,"5,696",Petrol,Automatic,5700000,Kolkata,Giripur,2.0 L TFSI,1984 cc,245.59bhp@5000-6000rpm,370Nm@1600-4300bhp,4,4,7-Speed AT,AWD,BS VI 2.0,Electric,4682 mm,1893 mm,1653 mm,5,2827 mm,1970 kg,5,
8128,2021,Nissan Magnite,XV BSVI,Nissan,1,first-owner,"17,439",Petrol,Manual,569000,Ahmedabad,Naroda,B4D 1.0 NA PETROL,999 cc,71.02bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electronic,3994 mm,1758 mm,1572 mm,5,2500 mm,939 kg,5,205 mm
1832,2013,Hyundai Verna,1.6 SX VTVT,Hyundai,1,first-owner,"53,000",Petrol,Manual,399000,Mumbai,Borivali West,VTVT Petrol Engine,1591 cc,121.3bhp@6300rpm,154.9Nm@4200rpm,4,4,5 Speed,FWD,BSIV,Power,4375 mm,1700 mm,1475 mm,5,2570 mm,1260 kg,4,165 mm
6732,2021,Mercedes-Benz GLE,300d BSVI,Mercedes-Benz,1,first-owner,"26,500",Diesel,Automatic,7499999,Mumbai,Mulund West,V Type Engine,1950 cc,241.38bhp@4200rpm,500Nm@1600-4000rpm,4,4,9G-TRONIC,AWD,BS VI,Power,4924 mm,2157 mm,1772 mm,5,2995 mm,2150 kg,5,200 mm
1591,2010,Hyundai i10,Magna 1.2,Hyundai,1,first-owner,"65,000",Petrol,Manual,88000,Kolkata,Kasba,Petrol Engine,1197 cc,78.9bhp@6000rpm,111.7Nm@4000rpm,4,4,5 Speed,FWD,BSIV,Power,3585 mm,1595 mm,1550 mm,5,2380 mm,930 kg,4,165 mm
8352,2022,Renault Kiger,RXT AMT,Renault,1,first-owner,"10,600",Petrol,Automatic,675000,Mumbai,Matunga West,1.0L energy,999 cc,71.01bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electric,3991 mm,1750 mm,1605 mm,5,2500 mm,1055 kg,5,205 mm
5094,2016,Renault KWID,RXT,Renault,1,first-owner,"48,000",Petrol,Manual,199000,New Delhi,Rohini Courts,Petrol Engine,799 cc,53.3bhp@5678rpm,72Nm@4386rpm,3,4,5 Speed,FWD,BS IV,Power,3679 mm,1579 mm,1478 mm,5,2422 mm,710 kg,5,180 mm
8349,2021,Renault Kiger,RXT,Renault,1,first-owner,"12,000",Petrol,Manual,545000,Gurgaon,Badli,1.0L energy,999 cc,71.01bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electric,3991 mm,1750 mm,1605 mm,5,2500 mm,1012 kg,5,205 mm
10446,2023,Hyundai Exter,S AMT,Hyundai,1,first-owner,"7,500",Petrol,Automatic,799000,New Delhi,Karam Pura,1.2 l Kappa,1197 cc,81.8bhp@6000rpm,113.8Nm@4000rpm,4,4,5 Speed AMT,FWD,BS VI 2.0,Electric,3815 mm,1710 mm,1631 mm,5,2450 mm,,5,
9463,2023,BMW XM,xDrive BSVI,BMW,1,first-owner,"9,600",Petrol,Automatic,18500000,Mumbai,Malad West,,4395 cc,643.69bhp@5400-7200rpm,800Nm@1600-5000rpm,8,4,8-Speed,4WD,BS VI,Electric,5155 mm,2000 mm,1745 mm,7,,2785 kg,5,
10672,2024,Tata Tigor,XMA AMT,Tata,1,first-owner,"10,000",Petrol,Automatic,725000,New Delhi,Preet Vihar,1.2L Revotron,1199 cc,84.48bhp@6000rpm,113Nm@3300rpm,3,4,5-Speed AMT,FWD,BS VI 2.0,,3993 mm,1677 mm,1532 mm,5,2450 mm,,4,
10644,2024,Jaguar F-Pace,2.0 R-Dynamic S,Jaguar,1,first-owner,"6,000",Petrol,Automatic,6800000,Gurgaon,,2.0L Ingenium Turbocharged I4,1997 cc,246.74bhp@5500rpm,365Nm@1500-4000rpm,4,4,8-Speed AT,AWD,BS VI 2.0,,4747 mm,2175 mm,1664 mm,5,2445 mm,1835 kg,5,
9115,2023,Land Rover Range Rover Sport,3.0 Diesel Dynamic HSE,Land Rover,1,first-owner,"8,436",Diesel,Automatic,16500000,Hyderabad,Madhapur,3.0L AJD Turbocharged V6,2997 cc,345.98bhp@4000rpm,700Nm@1500-3000rpm,6,4,8-Speed,AWD,BS VI,,4946 mm,2209 mm,1820 mm,5,3095 mm,2360 kg,,
10561,2024,Audi Q8,Celebration Edition,Audi,1,first-owner,"1,600",Petrol,Automatic,9800000,New Delhi,Naraina,TFSI Petrol Engine,2995 cc,335.25bhp@5200-6400rpm,500Nm@1370-4500rpm,4,4,8-Speed,AWD,BS VI 2.0,Electrical,4986 mm,2190 mm,1705 mm,5,2500 mm,2175 kg,5,
8321,2022,Jeep Compass,Model S DCT BSVI,Jeep,1,first-owner,"21,000",Petrol,Automatic,1650000,Kolkata,Kasba,1.4L MultiAir Petrol,1368 cc,160.77bhp@5500rpm,250Nm@2500-4000rpm,4,4,7 Speed DCT,4x2,BS VI,Power,4405 mm,1818 mm,1640 mm,5,2636 mm,1580 kg,5,
10582,2023,BMW 3 Series Gran Limousine,320Ld M Sport,BMW,1,first-owner,"1,623",Diesel,Automatic,6500000,Coimbatore,Gandhipuram,TwinPower Turbo,1995 cc,187.74bhp@4000rpm,400Nm@1750-2500rpm,4,4,8-Speed AT,RWD,BS VI 2.0,Electric,4823 mm,1827 mm,1441 mm,5,2400 mm,1640 kg,4,
12204,2024,Audi Q7,Technology,Audi,0,unregistered,"3,500",Petrol,Automatic,8800000,Kolkata,Giripur,3.0L V6 TFSI,2995 cc,335bhp@5200 - 6400rpm,500Nm@1370 - 4500rpm,6,4,8-Speed AT,AWD,BS VI 2.0,Electric,5072 mm,1970 mm,1705 mm,7,3000 mm,,5,
10568,2024,Audi Q3 Sportback,40TFSI Quattro,Audi,0,unregistered,"6,100",Petrol,Automatic,4800000,Guwahati,Dharapur,40 TFSI quattro,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,4,4,7-Speed,AWD,BS VI 2.0,Electric,4518 mm,2022 mm,1558 mm,5,2651 mm,1595 kg,5,
6837,2022,Mercedes-Benz GLC,200,Mercedes-Benz,2,second-owner,"22,000",Petrol,Automatic,6100000,Gurgaon,,M 264 petrol engine,1991 cc,197bhp@5500-6100rpm,320nm@1650-4000rpm,4,4,9 speed Tronic,AWD,BS VI,Power,4658 mm,1890 mm,1644 mm,5,2873 mm,1585 kg,5,
6732,2023,Mercedes-Benz GLE,300d BSVI,Mercedes-Benz,1,first-owner,"6,800",Diesel,Automatic,9495000,Mumbai,Goregaon (w),V Type Engine,1950 cc,241.38bhp@4200rpm,500Nm@1600-4000rpm,4,4,9G-TRONIC,AWD,BS VI,Power,4924 mm,2157 mm,1772 mm,5,2995 mm,2150 kg,5,200 mm
10557,2024,Audi Q5,Technology,Audi,0,unregistered,"5,696",Petrol,Automatic,5700000,Kolkata,Giripur,2.0 L TFSI,1984 cc,245.59bhp@5000-6000rpm,370Nm@1600-4300bhp,4,4,7-Speed AT,AWD,BS VI 2.0,Electric,4682 mm,1893 mm,1653 mm,5,2827 mm,1970 kg,5,
8128,2021,Nissan Magnite,XV BSVI,Nissan,1,first-owner,"17,439",Petrol,Manual,569000,Ahmedabad,Naroda,B4D 1.0 NA PETROL,999 cc,71.02bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electronic,3994 mm,1758 mm,1572 mm,5,2500 mm,939 kg,5,205 mm
1832,2013,Hyundai Verna,1.6 SX VTVT,Hyundai,1,first-owner,"53,000",Petrol,Manual,399000,Mumbai,Borivali West,VTVT Petrol Engine,1591 cc,121.3bhp@6300rpm,154.9Nm@4200rpm,4,4,5 Speed,FWD,BSIV,Power,4375 mm,1700 mm,1475 mm,5,2570 mm,1260 kg,4,165 mm
6732,2021,Mercedes-Benz GLE,300d BSVI,Mercedes-Benz,1,first-owner,"26,500",Diesel,Automatic,7499999,Mumbai,Mulund West,V Type Engine,1950 cc,241.38bhp@4200rpm,500Nm@1600-4000rpm,4,4,9G-TRONIC,AWD,BS VI,Power,4924 mm,2157 mm,1772 mm,5,2995 mm,2150 kg,5,200 mm
1591,2010,Hyundai i10,Magna 1.2,Hyundai,1,first-owner,"65,000",Petrol,Manual,88000,Kolkata,Kasba,Petrol Engine,1197 cc,78.9bhp@6000rpm,111.7Nm@4000rpm,4,4,5 Speed,FWD,BSIV,Power,3585 mm,1595 mm,1550 mm,5,2380 mm,930 kg,4,165 mm
8352,2022,Renault Kiger,RXT AMT,Renault,1,first-owner,"10,600",Petrol,Automatic,675000,Mumbai,Matunga West,1.0L energy,999 cc,71.01bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electric,3991 mm,1750 mm,1605 mm,5,2500 mm,1055 kg,5,205 mm
5094,2016,Renault KWID,RXT,Renault,1,first-owner,"48,000",Petrol,Manual,199000,New Delhi,Rohini Courts,Petrol Engine,799 cc,53.3bhp@5678rpm,72Nm@4386rpm,3,4,5 Speed,FWD,BS IV,Power,3679 mm,1579 mm,1478 mm,5,2422 mm,710 kg,5,180 mm
8349,2021,Renault Kiger,RXT,Renault,1,first-owner,"12,000",Petrol,Manual,545000,Gurgaon,Badli,1.0L energy,999 cc,71.01bhp@6250rpm,96Nm@3500rpm,3,4,5 Speed,,BS VI,Electric,3991 mm,1750 mm,1605 mm,5,2500 mm,1012 kg,5,205 mm
10446,2023,Hyundai Exter,S AMT,Hyundai,1,first-owner,"7,500",Petrol,Automatic,799000,New Delhi,Karam Pura,1.2 l Kappa,1197 cc,81.8bhp@6000rpm,113.8Nm@4000rpm,4,4,5 Speed AMT,FWD,BS VI 2.0,Electric,3815 mm,1710 mm,1631 mm,5,2450 mm,,5,
9463,2023,BMW XM,xDrive BSVI,BMW,1,first-owner,"9,600",Petrol,Automatic,18500000,Mumbai,Malad West,,4395 cc,643.69bhp@5400-7200rpm,800Nm@1600-5000rpm,8,4,8-Speed,4WD,BS VI,Electric,5155 mm,2000 mm,1745 mm,7,,2785 kg,5,
10672,2024,Tata Tigor,XMA AMT,Tata,1,first-owner,"10,000",Petrol,Automatic,725000,New Delhi,Preet Vihar,1.2L Revotron,1199 cc,84.48bhp@6000rpm,113Nm@3300rpm,3,4,5-Speed AMT,FWD,BS VI 2.0,,3993 mm,1677 mm,1532 mm,5,2450 mm,,4,
10644,2024,Jaguar F-Pace,2.0 R-Dynamic S,Jaguar,1,first-owner,"6,000",Petrol,Automatic,6800000,Gurgaon,,2.0L Ingenium Turbocharged I4,1997 cc,246.74bhp@5500rpm,365Nm@1500-4000rpm,4,4,8-Speed AT,AWD,BS VI 2.0,,4747 mm,2175 mm,1664 mm,5,2445 mm,1835 kg,5,
9115,2023,Land Rover Range Rover Sport,3.0 Diesel Dynamic HSE,Land Rover,1,first-owner,"8,436",Diesel,Automatic,16500000,Hyderabad,Madhapur,3.0L AJD Turbocharged V6,2997 cc,345.98bhp@4000rpm,700Nm@1500-3000rpm,6,4,8-Speed,AWD,BS VI,,4946 mm,2209 mm,1820 mm,5,3095 mm,2360 kg,,
10561,2024,Audi Q8,Celebration Edition,Audi,1,first-owner,"1,600",Petrol,Automatic,9800000,New Delhi,Naraina,TFSI Petrol Engine,2995 cc,335.25bhp@5200-6400rpm,500Nm@1370-4500rpm,4,4,8-Speed,AWD,BS VI 2.0,Electrical,4986 mm,2190 mm,1705 mm,5,2500 mm,2175 kg,5,
